period_start,purchase_records,active_customers,active_shops,nodes,edges,network_density,avg_clustering,modularity,detected_communities
2024-01-01,270,191,20,20,6,0.031578947368421054,0.0,0.7777777777777777,14
2024-01-08,279,204,20,20,5,0.02631578947368421,0.0,0.5925925925925926,15
2024-01-15,294,197,20,20,8,0.042105263157894736,0.14261488840816772,0.4807492195629553,14
2024-01-22,267,196,20,20,7,0.03684210526315789,0.0,0.6691871455576559,13
2024-01-29,268,194,20,20,7,0.03684210526315789,0.0,0.6938775510204083,13
2024-02-05,248,195,20,20,4,0.021052631578947368,0.0,0.75,16
2024-02-12,287,209,20,20,8,0.042105263157894736,0.06879015101863806,0.5710059171597633,13
2024-02-19,272,194,20,20,9,0.04736842105263158,0.0,0.7158145065398335,11
2024-02-26,155,133,20,20,0,0.0,0.0,,0
